seconds_after_operational,left_raw_i16,right_raw_i16,status_hex
19.942042,0,-334,14211421
19.992053,0,-239,14211421
20.042065,0,-175,14211421
20.092072,0,-365,14211421
20.142087,0,-672,14211421
20.192095,0,-843,14211421
20.242106,0,-817,14211421
20.292118,0,-721,14211421
20.342128,0,-623,14211421
20.392140,0,-529,14211421
20.442146,0,-436,14211421
20.492160,0,-347,14211421
20.542168,0,-242,14211421
20.592179,0,-168,14211421
20.642189,0,-354,14211421
20.692203,0,-699,14211421
20.742208,0,-896,14211421
20.792165,0,-945,14211421
20.842108,0,-862,14211421
20.892120,0,-766,14211421
20.942126,0,-670,14211421
20.992139,0,-575,14211421
21.042150,0,-479,14211421
21.092158,0,-380,14211421
21.142170,0,-278,14211421
21.192180,0,-397,14211421
21.242189,0,-766,14211421
21.292143,0,-939,14211421
21.342088,0,-896,14211421
21.392097,0,-802,14211421
21.442108,0,-703,14211421
21.492117,0,-612,14211421
21.542129,0,-518,14211421
21.592139,0,-428,14211421
21.642149,0,-321,14211421
21.692157,0,-274,14211421
21.742167,0,-571,14211421
21.792181,0,-910,14211421
21.842194,3,-1009,14211421
21.892200,0,-925,14211421
21.942209,0,-828,14211421
21.992224,0,-727,14211421
22.042231,0,-630,14211421
22.092240,0,-532,14211421
22.142255,0,-425,14211421
22.192263,0,-303,14211421
22.242276,0,-420,14211421
22.292284,0,-821,14211421
22.342293,0,-1036,14211421
22.392308,0,-990,14211421
22.442317,0,-895,14211421
22.492325,0,-799,14211421
22.542337,0,-710,14211421
22.592346,0,-617,14211421
22.642360,0,-528,14211421
22.692369,0,-435,14211421
22.742379,0,-305,14211421
22.792393,0,-393,14211421
22.842399,0,-679,14211421
22.892409,0,-829,14211421
22.942420,0,-751,14211421
22.992429,0,-654,14211421
23.042440,0,-555,14211421
23.092452,0,-461,14211421
23.142460,0,-364,14211421
23.192477,0,-256,14211421
23.242484,0,-136,14211421
23.292497,0,-179,14211421
23.342505,0,-512,14211421
23.392515,0,-779,14211421
23.442522,0,-822,14211421
23.492535,0,-738,14211421
23.542548,0,-644,14211421
23.592556,0,-554,14211421
23.642565,0,-463,14211421
23.692580,0,-375,14211421
23.742591,0,-256,14211421
23.792600,0,-214,14211421
23.842606,0,-523,14211421
23.892616,0,-795,14211421
23.942629,0,-861,14211421
23.992639,0,-779,14211421
24.042652,0,-680,14211421
24.092661,0,-583,14211421
24.142673,0,-485,14211421
24.192684,0,-389,14211421
24.242691,0,-288,14211421
24.292705,0,-194,14211421
24.342713,0,-352,14211421
24.392723,0,-653,14211421
24.442731,0,-805,14211421
24.492748,0,-788,14211421
24.542763,0,-697,14211421
24.592763,0,-601,14211421
24.642725,0,-511,14211421
24.692723,0,-422,14211421
24.742681,0,-313,14211421
24.792685,0,-187,14211421
24.842637,0,-378,14211421
24.892639,0,-798,14211421
24.942652,0,-925,14211421
24.992599,0,-847,14211421
25.042547,0,-754,14211421
25.092497,0,-655,14211421
25.142444,0,-560,14211421
25.192395,0,-462,14211421
25.242337,0,-366,14211421
25.292292,0,-236,14211421
25.342239,0,-205,14211421
25.392185,0,-527,14211421
25.442130,0,-874,14211421
25.492083,0,-993,14211421
